County,Population,Votes,Dem_votes,GOP_votes,Partisan_votes,p_gop,density
Adams,21352,12882,4443,7763,12206,0.635998689,29.9
Ashland,16196,8955,4612,4191,8803,0.476087697,7
Barron,46810,26809,8941,16726,25667,0.651653875,51.4
Bayfield,16838,11240,6107,4860,10967,0.443147625,7.4
Brown,273909,149333,67937,79132,147069,0.538060366,410.4
Buffalo,13464,8100,2765,5213,7978,0.65342191,18.8
Burnett,17187,10810,3665,7008,10673,0.656610138,17.5
Calumet,53602,32916,12927,19488,32415,0.601203147,124.7
Chippewa,67323,38471,14573,23399,37972,0.616217213,60.6
Clark,34801,15340,4509,10481,14990,0.699199466,28.4
Columbia,58113,34914,16388,17988,34376,0.52327205,71.2
Crawford,16008,9105,3860,5113,8973,0.569820573,27.6
Dane,588347,365929,273995,85454,359449,0.237736091,406.2
Dodge,88635,50300,16518,33067,49585,0.666875063,97.7
Door,30512,20944,10565,10099,20664,0.488724352,11.7
Douglas,44276,25234,13073,11732,24805,0.472969159,29.7
Dunn,46135,25678,10643,14726,25369,0.58047223,51
Eau Claire,108830,63177,34400,27728,62128,0.446304404,155.9
Florence,4673,3158,783,2356,3139,0.750557502,9
Fond du Lac,104269,58527,20495,37272,57767,0.645212665,132.8
Forest,9506,5097,1681,3382,5063,0.667983409,8.8
Grant,52330,27306,10966,15922,26888,0.592160071,43.3
Green,37183,22076,10903,10843,21746,0.498620436,63.3
Green Lake,19370,11052,3449,7458,10907,0.683781058,50
Iowa,23963,14677,7750,6631,14381,0.4610945,30.9
Iron,6235,4084,1487,2557,4044,0.632294758,6.4
Jackson,21027,10502,4157,6204,10361,0.598783901,20.5
Jefferson,86245,50146,20574,28771,49345,0.583058061,144.5
Juneau,26590,14553,4854,9525,14379,0.662424369,33.1
Kenosha,168754,90680,41826,47478,89304,0.531644719,221.8
Kewaunee,20751,12484,4059,8267,12326,0.67069609,18.9
La Crosse,121060,72261,39008,32247,71255,0.452557715,242.7
Lafayette,17306,8832,3469,5256,8725,0.602406877,26.5
Langlade,19535,11664,3746,7782,11528,0.675052047,22.2
Lincoln,28461,17209,6306,10633,16939,0.627723006,31.5
Manitowoc,81513,46316,17399,28200,45599,0.618434615,54.1
Marathon,139091,78826,31529,46213,77742,0.594440586,85.6
Marinette,42343,24415,7415,16670,24085,0.692132032,26.8
Marquette,15743,9427,3252,6041,9293,0.650059184,32.8
Menominee,4286,1572,1266,296,1562,0.18950064,12
Milwaukee,924740,464107,316292,138022,454314,0.303803097,801.5
Monroe,46370,23369,8476,14563,23039,0.632102088,49.7
Oconto,40037,24912,6967,17675,24642,0.717271325,32.6
Oneida,38175,24895,10080,14455,24535,0.589158345,28.9
Outagamie,195390,111932,49438,60827,110265,0.551643767,277.9
Ozaukee,93956,63472,27874,34504,62378,0.553143737,77.9
Pepin,7555,4354,1523,2798,4321,0.647535293,29.7
Pierce,43380,25392,10171,14417,24588,0.586342932,69
Polk,45831,28222,9567,18296,27863,0.656641424,45.7
Portage,72040,43258,21503,20987,42490,0.493927983,85.5
Price,14087,8856,3005,5763,8768,0.65727646,10.9
Racine,198651,107686,49721,56347,106068,0.53123468,246.2
Richland,17123,9323,3985,5207,9192,0.566470844,30.3
Rock,165461,88310,46642,40218,86860,0.463020953,221
Rusk,14168,8270,2516,5660,8176,0.692270059,15.5
Sauk,66486,37584,18172,18798,36970,0.508466324,116.1
Sawyer,18835,11140,4599,6422,11021,0.582705744,73.9
Shawano,41299,23500,7336,15850,23186,0.683602174,12.2
Sheboygan,118331,67562,27735,38763,66498,0.582919787,45.8
St. Croix,97954,60642,23870,35537,59407,0.598195499,90.6
Taylor,20167,11186,2823,8209,11032,0.744108049,20.9
Trempealeau,30801,16079,6219,9661,15880,0.608375315,39.5
Vernon,31351,16609,7514,8807,16321,0.539611543,36.9
Vilas,23948,16135,6119,9837,15956,0.616507897,21
Walworth,106029,60597,23161,36603,59764,0.612459005,178.5
Washburn,16982,10978,3867,6962,10829,0.642903315,18.5
Washington,138727,91407,28504,61604,90108,0.683668487,304.2
Waukesha,417029,275787,108478,162768,271246,0.600075208,676
Waupaca,51171,30403,9947,20093,30040,0.668874834,68.2
Waushara,25079,14363,4571,9625,14196,0.67800789,38.3
Winnebago,173307,95371,44660,49179,93839,0.524078475,291.1
Wood,73943,42216,16599,24997,41596,0.600947206,91.7
